index,codeCVM,issuingCompany,companyName,tradingName,cnpj,marketIndicator,typeBDR,dateListing,status,segment,segmentEng,type,market
1626,915066,MEZU,MEZ 1 ENERGIA LTDA.,MEZ 1 ENERGI,33950678000194,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1627,917351,MEZ3,MEZ 3 ENERGIA S.A.,MEZ3ENERGIAS,31231893000100,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1628,916919,MEZE,MEZ 4 ENERGIA S.A.,MEZ 4 ENERG,31231479000109,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1629,915843,MEZ5,MEZ 5 ENERGIA S.A.,MEZ5ENERGIAS,40215231000137,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1630,915520,MEZ6,MEZ 6 Energia Ltda.,MEZ6ENERGIAL,40215276000101,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1631,915868,MEZT,MEZ T1 TRANSMISSORA E PARTICIPAÇÕES S.A.,MEZT1TRANSMI,42579834000143,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1632,911172,LYOD,MG3 INFRAESTRUTURA E PARTICIPACOES LTDA,MG3 INFRAEST,27600441000180,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1633,905265,MLAN,MILANO COMERCIO VAREJISTA DE ALIMENTOS S.A..,MILANOCOMERC,11950487000190,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1634,905273,MLNP,MILANO ENERGIA PARTICIPACOES E INVESTIMENTOS S/A,MILANO,7692986000157,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1635,22012,MILS,MILLS LOCAÇÃO. SERVIÇOS E LOGÍSTICA S.A,MILLS,27093558000115,18,,08/04/2010,A,Máq. e Equip. Industriais,Machines and Industrial Equipments,1,NM
1636,905190,MILO,MILO INVESTIMENTOS SA,MILOINVEST,11459904000104,1,,31/12/9999,A,Não Classificados,Not Classified,7,
